,type,,
bed is broken,8,,
door is not closing,8,,
water is not coming,8,,
hot water is not available,8,,
pillows are dirty,8,,
floor is unclean,8,,
clean the floor,8,,
floor is not tidy,8,,
"i have spilled some juice, kindly clean it",8,,
the room is smelling,8,,
the flush is not working,8,,
the room is not clean,8,,
plumber required,8,,
sink is not clean,8,,
shower is not working,8,,
key card  is broken,8,,
key card is not working,8,,
repair the ac,8,,
door lock is not working,8,,
repair door lock,8,,
cleaning is required,8,,
slippery floor,8,,
please repair the shower,8,,
change the buckets,8,,
the bathroom floor is not clean,8,,
the pot stinks,8,,
the pot is dirty,8,,
the towels smell,8,,
the glass of the table is broken,8,,
The bed is uncomfortable,8,,
The mattress makes a lot of sound,8,,
the sofa has a loose spring,8,,
there is no handwash in bathroom,8,,
the mirror in the room are not clean,8,,
change the bedsheets,8,,
Ac is not working properly,8,,
the lock doesn't work,8,,
I cannot close the bathroom door,8,,
there is shit in my toilet.,8,,
there are stray dogs in the corridor,8,,
"we just checked in, get us some clean sheets",8,,
fix the bathroom lights,8,,
the bed makes sound,8,,
laundry is needed,9,,
i want to give my clothes for laundry,9,,
can you provide me some extra pillows,9,,
want extra sheets,9,,
need more pillows,9,,
want to have cold water for drinking,9,,
provide drinking water,9,,
please switch on the ac before my arrival,9,,
kindly send someone to clean the room,9,,
please provide extra towels,9,,
"i lost my key, can i get an extra",9,,
get some scented candles,9,,
provide me with slippers,9,,
get extra keys,9,,
get me an extra key,9,,
room service,9,,
call room service,9,,
does the hotel have the faciliy of room delivery ?,9,,
the room should have a balcony,9,,
the cupboard should be tidy before I check in,9,,
fetch me a drink in my room,9,,
keep the bath tub ready before my arrival,9,,
arrange a pair of slippers for me,9,,
get me a first aid box,9,,
get me an eye cover,9,,
hi,1,,
hi ai nice to meet you,1,,
hi ai,1,,
hi sona.ai,1,,
hello !,1,,
hello sona !,1,,
nice to meet you sona,1,,
hello sona nice to meet you,1,,
it is really nice to meet you sona.ai,1,,
good morning,1,,
good morning sona.ai,1,,
hello sona i want to order some food,1,,
good after noon sona can i do my order ?,1,,
good after noon sona can i place my order ?,1,,
good evening sona what's up,1,,
hey,1,,
hey sona,1,,
good evening sona nice to meet you,1,,
hi ai greetings,1,,
i want to order paneer with phulka,2,,
i want to order baby corn chilly with butter phulka,2,,
 i want plain rice,2,,
i want to order plain rice,2,,
i need chapathi with chilly mushroom,2,,
i need chicken kabab with phulka,2,,
i want to have lemon chicken,2,,
let me order chicken fry and phulka,2,,
let me order chicken biriyani,2,,
i want to order aloo dum biriyani,2,,
can i get peneer biriyani,2,,
can i get chicken fried rice ?,2,,
can i get biriyani paneer butter masala,2,,
i want chapati and egg bhurji,2,,
is tomato curry available ?,2,,
is paneer butter masala available ?,2,,
is pepper chicken and phulka available ?,2,,
i would want to have mashroom masala and butter phulka,2,,
i want to have palak paneer with roti,2,,
i would want to have chilly gobi and roti,2,,
please tell me about the special food,3,,
what are some special offered here,3,,
just tell me your special food,3,,
what are your special dishes,3,,
tell me about your special dishes ,3,,
give me the names of special foods offered here,3,,
what are special foods offered here,3,,
give me your special food,3,,
what is the special food of your restaurant ?,3,,
i want to have your special food,3,,
i want to eat spanish food,4,,
please recommend me some spanish food,4,,
please tell me some thai type food,4,,
i want some turkish food,4,,
i want to have some vietnamese food,4,,
please give me spanish food,4,,
i would like to have indian food,4,,
i want south indian food,4,,
i would like to have north indian food,4,,
i would like to have south indian food,4,,
i would want to have north indian,4,,
i want italian food,4,,
i would want to have japanese food,4,,
recommend me mexian food,4,,
recommend me moroccan type food ,4,,
i want american dish,4,,
i want caribbean stuff,4,,
give me french stuff,4,,
i would want some chinese stuff,4,,
please give me french food,4,,
i would want to check in early,5,,
i would arrive some hours early,5,,
i want an early check-in,5,,
i am arriving early please plan an early check in ,5,,
i am arriving early do an early check in ,5,,
i would leave late as my filght is cancled,5,,
i would leave late as because my train is cancled,5,,
i would leave late coz my train is cancled,5,,
i am leaving late due some unavoidable circumstances,5,,
i will be leaving late ,5,,
i will be leaving around 12 hourse late,6,,
i will be late by about 5 hours,6,,
"sorry, will be late by 7 hrs",6,,
"give me more stay, i leave by 5 hrs in morning",6,,
my stay has to be extended by 15 hours,6,,
i will leave a little late,6,,
increase my stay at your hotel by around 20 hrs,6,,
could you please incease my stay by a few days ?,6,,
I want my stay to increase urgently by 2 days,6,,
i missed my flight please increase my stay by 3 days,6,,
please recommend me some food,7,,
"i dont have any idea, recommend me something",7,,
please recommend some good food,7,,
show me some food varities,7,,
show me some food varities of this hotel,7,,
show me most famous food of this city,7,,
give me famous food of this country,7,,
recommend me some soft drinks of this hotel,7,,
give me some hard drinks of this hotel,7,,
recommend me some beverages,7,,
suggest me some spicy food,7,,
can you suggest me some milk shakes ?,7,,
suggest me somethig to eat with chapati,7,,
give me some different varities of noodles,7,,
recommend me some healthy food,7,,
what is wrong with lights man ?,8,,
there's some issues with lights ,8,,
lights need some maintenance,8,,
shower is not working please do something about it,8,,
shower is not working,8,,
showers require some maintenance,8,,
"TV doesnot turn on, whats wrong dude?",8,,
what is wrong with the TV,8,,
where are the towels?,8,,
where are bed sheets? bring them immdeiately,8,,
"TV doesnot have dish connection, you want me to watch door darshan ? come on bro !",8,,
I need dish connection asap,8,,
"taps are leaky, do something about it asap",8,,
"do something about these taps, they are not working ",8,,
AC is not doing the proper cooling,8,,
whats wrong with ac man !,8,,
this AC just warmed me up! thanks dude ! fix it immediately,8,,
your ac works like a heater,8,,
nice ac it warms things up,8,,
this ac requires maintenance,8,,
swimming pool should be ready,9,,
please prepare a swimming pool,9,,
i need a cozy and warm swimming pool when i get there,9,,
i need 2 bottles of wine when i arrive,9,,
please prepare some wine bottle,9,,
a want a few packs of cigeratte in my room,9,,
cigeratte should be there,9,,
prepare a good bathtub for me ,9,,
i need a coz bathtub when i reach there,9,,
i want towels when i arrive at my room,9,,
prepare a set of towels for me man,9,,
get ready some whisky and drinks for me,9,,
i want wine when i reach my room,9,,
swimming pool should be ready,9,,
get ready spa for me,9,,
spa should be there dude,9,,
i need spa,9,,
where the hell is dish connection ? people dont watch door darshan these days ,8,,
door darshan and metro ? i mean damn bro get me a dish connection,8,,
"need dish tv, do you know people dont watch door darshan these days?",8,,
i want ice tea prepaed in my room,9,,
i want ice-cream in my room,9,,
i want some soft drinks in my room,9,,
"i want thumbs up in my room, coz i want to taste the thunder !",9,,
toilet is not properly cleaned ,8,,
toilet flush is not working,8,,
toilet jet is not working ,8,,
some maintenance is required in lights,8,,
i need internet at my room,9,,
i need proper wifi connection,9,,
i need fast wifi connection,9,,
fan is not working man,8,,
i needed ac and you gave me fan ! are you crazy ?,8,,
some maintenance is required in lights,8,,
i need fast internet at my room,9,,
i need proper wifi connection with high speed,9,,
i need fast wifi connection either airtel or jio,9,,
fan is not working dude,8,,
i needed ac and you gave me fan ! are you sick ?,8,,
i would want to check in early,5,,
i would arrive some hours early,5,,
i want an early check-in,5,,
i am arriving early please plan an early check in ,5,,
i am arriving early do an early check in ,5,,
i would arrive early as my filght is re-sheduled,5,,
i would leave early as because my train is re-sheduled,5,,
i would arrive early coz my meeting is pre-poned,5,,
i am arriving early due some unavoidable circumstances,5,,
i will be arriving little late ,5,,
i will be leaving around 12 hourse late,6,,
i will be late by about 5 hours,6,,
"sorry, will be late by 7 hrs",6,,
"give me more stay, i leave by 5 hrs in morning",6,,
my stay has to be extended by 15 hours,6,,
i will leave a little late,6,,
increase my stay at your hotel by around 20 hrs,6,,
could you please incease my stay by a few days ?,6,,
I want my stay to increase urgently by 2 days,6,,
i missed my flight please increase my stay by 3 days,6,,
can i get a few more days at our hotel?,6,,
hello there dude,1,,
hey hey hey wassup AI,1,,
evening fellas,1,,
hello man good evening,1,,
hello dude good after noon sona,1,,
hey sona ! are you really made of sona ?? i mean gold?,1,,
hello mr AI what can you do for me?,1,,
hey AI lets what can you do,1,,
hello sona good evening,1,,
hi sona.ai,1,,
i want to order paneer with phulka,2,,
i want to order baby corn chilly with butter phulka,2,,
 i want plain rice,2,,
i want to order plain rice,2,,
i want fried rice,2,,
i want fried rice with rajma and chola,2,,
hello,1,,
how are you,1,,
nice day,1,,
what is your name,1,,
i want help,1,,
hi,1,,
how was your day,1,,
feeling good,1,,
i want some help,1,,
how can you help me,1,,
lets chat ,1,,
feeling bored,1,,
tell me something about yourself,1,,
i want some help,1,,
hey there,1,,
how are you doing,1,,
lets chill out,1,,
where are you from,1,,
hi my name is Suresh,1,,
i want to have chilly paneer with phulka,2,,
i wish to have aloo matar and dal fry with phulka,2,,
my order is chilly chicken,2,,
i want to have only phulka,2,,
can i get tomato curry,2,,
i want to have mushroom 65,2,,
fish curry seems good,2,,
tomato egg curry,2,,
get me biryani rice,2,,
give me lassi,2,,
give me lassi with mutton curry,2,,
i want to try curd rice,2,,
can i get butter milk,2,,
give me some paneer 65,2,,
how about jeera rice,2,,
i want to try jeera rice with mutton curry,2,,
i would like to have aloo dum ,2,,
can you get me soft drink,2,,
want to try some ghee rice,2,,
i want to drink lassi,2,,
what special do you have in drinks,3,,
what is special in north india,3,,
what is special in south indian,3,,
which curry is special  ,3,,
what is your restaurant speciality,3,,
show me special food in north indian food,3,,
what do you have special today,3,,
tell me something special that you have,3,,
Please tell me what you have special today,3,,
which food is famous in your hotel,3,,
i want to order summer special ,3,,
what are famous drinks in your hotel,3,,
show me best gravy that you have,3,,
i want to eat something good,3,,
show me nice cold drinks,3,,
what would be best thing to eat,3,,
want to eat something special ,3,,
what is special for today,3,,
can i get south indian special,3,,
show me south indian famous food,3,,
show me chinese food,4,,
what do you have in chinese ,4,,
I want to eat chinese ,4,,
what is there in america,4,,
american food,4,,
indian and pakistani food,4,,
feel like eating italian,4,,
want to have greek,4,,
what is available in greek food,4,,
want to taste some greek food,4,,
show me mexican,4,,
i feel like eating mexican food,4,,
french seems to be a good option,4,,
show me some french food to eat,4,,
help me with italian,4,,
i would like to order chinese,4,,
chinese food ,4,,
i think chinese food would be a good option,4,,
indian dishes,4,,
help me with indian ,4,,
i want to come early,5,,
can i check in early,5,,
do you allow early entry,5,,
do you allow early check in,5,,
i need to check in early,5,,
help me with early entry,5,,
how to do early check in,5,,
guide me with early check in,5,,
i want early check in ,5,,
i prefer early check in,5,,
can i get entry early,5,,
early check in,5,,
do we have to pay for early check in,5,,
how can i get early check in ,5,,
what are charges for early check in,5,,
i am arriving early,5,,
can i arrive early,5,,
do you allow early arrival,5,,
i want late check out,6,,
can you help to late check out,6,,
is it possible to late check out,6,,
how to late check out,6,,
please allow me to late check out,6,,
late check out,6,,
i feel like late check out,6,,
how to late check out,6,,
guide me to late check out,6,,
today i will late check out,6,,
how about late check out,6,,
recommend me latest food,7,,
recommend north indian,7,,
recommend me food,7,,
South indian recommendation,7,,
North Indian  recommendation,7,,
show me best recommendation,7,,
suggest italian food,7,,
which is best food in north indian ,7,,
recommend best dal,7,,
recommend best drinks in summers,7,,
i want to have your special drinks,7,,
lights not working,8,,
toilet not working,8,,
the window needs to be repaired,8,,
the jet needs to be replaced,8,,
window problem,8,,
AC broken,8,,
replace my bed sheet,8,,
replace the TV,8,,
repair TV,8,,
Urgent repair TV,8,,
make my room ready ,9,,
organize my son's birthday ,9,,
i have wedding aniversary today,9,,
i want to organize a reunion,9,,
i want immediate medical help,9,,
my wife is ill,9,,
i am feeling unwell today,9,,
bed decoration for honeymoon,9,,
the room is too hot need another one,9,,
i want to give a party,9,,
today i will late check out,6,,
Do you allow late check out,6,,
Money charged for late check out,6,,
how to late check out,6,,
how can we do a late check out,6,,
if i late check out will you charge any money,6,,
extra money for late check out,6,,
i feel like late check out,6,,
i want to do late check out,6,,
recommend me the best food in summers,7,,
drinks recommendations,7,,
which drink should i have ,7,,
show me best that have in breakfast,7,,
recommend me food for breakfast,7,,
fell like eating something special,7,,
i want to order summer special ,7,,
Recommend me good lunch,7,,
Good food recommendation,7,,
fell like eating something special,7,,
the door is broken,8,,
fans are slow,8,,
water is dirty,8,,
the exhaust is not working,8,,
the AC is not functional,8,,
the lights are dim,8,,
bed is dirty,8,,
the sheets needs to be changed,8,,
the pillow is dirty,8,,
floor is dirty ,8,,
the room is having a bad odor,8,,
the fridge is broken,8,,
bed are making noise,8,,
the toilet needs to be cleaned,8,,
the toilet is looking dirty,8,,
we have one  pillow less,8,,
doors not closing properly,8,,
ventilation is bad,8,,
the ventilation is poor,8,,
carpet not cleaned,8,,
bed not cleaned,8,,
hey there,1,,
hey man,1,,
hi bot,1,,
what is your name,1,,
good evening,1,,
good morning,1,,
good night,1,,
good after noon,1,,
What are you doing,1,,
Where are you from,1,,
what do you do,1,,
who is your owner,1,,
Good day,1,,
Lets talk,1,,
lets have good chat,1,,
nice to meet you,1,,
glad to meet you,1,,
nice meeting you,1,,
hi there ,1,,
hey there,1,,
Hey,1,,
Hey man,1,,
 Hi,1,,
How’s it going?,1,,
How are you doing?,1,,
What’s up?,1,,
What’s new,1,,
What’s going on?,1,,
How’s everything ?,1,,
How are things?,1,,
How’s life?,1,,
How’s your day?,1,,
How’s your day going?,1,,
Good to see you,1,,
Nice to see you,1,,
Long time no see,1,,
It’s been a while ,1,,
Good morning,1,,
Good afternoon,1,,
Good evening,1,,
It’s nice to meet you,1,,
Pleased to meet you,1,,
How have you been?,1,,
How do you do? ,1,,
I want to have Tomato curry and 2 Chapathi,2,,
I want to have Dal fry,2,,
I want to have Mutton Curry,2,,
Is Lemon Chicken available,2,,
I want to have 3 plate plain rice,2,,
I want to have 2 Tomato egg curry,2,,
I wish egg omlet,2,,
Take my Curd rice order,2,,
"Chicken fry 
",2,,
Chilly fish please,2,,
Aloo Dum Biryani,2,,
Chicken 65 for food,2,,
One order of Sweet and salty lassi each,2,,
can i have 2 chapathi,2,,
2 300 mil soft drink please,2,,
"one 600 ml Soft drink
",2,,
one 600 ml and one 300 ml soft drink please,2,,
Chilly fish and 1 lassi,2,,
Aloo Dum Biryani,2,,
Can i have Tasty Mushroom masala ,2,,
Any thing special in Beverages,3,,
Any thing special in Beverages,3,,
Any thing special for Non-Veg,3,,
Any thing special in Non- Vegetarian,3,,
what is the best food for Vegatarian,3,,
what is the best Curry available,3,,
Any special combo available,3,,
Can you tell me the best Veg starter items,3,,
Provide me the best food item,3,,
Give me the best smoothie you can provide,3,,
Give me the best food available,3,,
Any good north indian food,4,,
Any good south indian food,4,,
Can i get chinese food,4,,
Can i get maxican food,4,,
Can i get Spanish food,4,,
Can i get Thai food,4,,
give me american food,4,,
I want to have french food,4,,
I wish to have parsi food,4,,
Any good greek food,4,,
Any good arab food,4,,
Can i get rajasthani food,4,,
I want marathi food,4,,
I want Bengali food,4,,
Any mexican dish available,4,,
How late can i check in ?,6,,
How early can i check in ?,5,,
How late can i check out ?,6,,
How early can i check out ?,6,,
Can you provide the time interval for check in?,5,,
Can you provide the time interval for check out ?,6,,
Please provide information regarding check in.,5,,
Please provide information regarding check out,6,,
Is it okay if I check in before 8 am,5,,
Is entry before 8:00 am allowed,6,,
Can i leave after 12 pm,6,,
what's in the food?,7,,
"Whats best ,you can offer in food",7,,
Can u provide the menu for food,7,,
what 's in lunch,7,,
I want something sweet,7,,
Any good drink?,7,,
Recommend some good smoothie,7,,
Any good food dish ,7,,
Any non- alcoholic drink available?,7,,
Any alchoholic drinK?,7,,
Please repair the Television,8,,
Please repair the geaser in my room,8,,
Help! the bed is broken,8,,
Can you shift me to a different room,8,,
Any other rooms available?,9,,
The Toilet flush is not working,8,,
There is no pillow in my room,8,,
The wardrobe is broken in my room,8,,
I want a room with attached balcony,9,,
I want a room with attached bathroom,9,,
Please fix the lock of my room,8,,
The fridge stinks,8,,
The fan is not working properly,8,,
The room is dirty and stinks,8,,
The Sofa is broken,8,,
The door makes lot of noise,8,,
Can i get some spicy food,5,,
Can i get some sour food,5,,
Can i have some sweet dish,5,,
I wish to shorten my stay in this hotel,9,,
I wish to stay here longer,9,,
I wish to know the various facilities in this hotel,9,,
Pillow cover is dirty,8,,
The food smells rotten,8,,
The food stinks,8,,
Good morning,1,,
Good evening,1,,
"Good afternoon, Sir",1,,
The taps are not working,8,,
The shower is broken,8,,
Is there any playing area?,9,,
Is there any swimmming pool ?,9,,
"My car is late, can I come late",5,,
"My Bus is early ,can i check in early",5,,
"We are stuck in traffic, can we come late",5,,
"I missed my train, can i stay 2 more days?",5,,
Do you allow late check out?,6,,
"Do we have to pay for late check out?
",6,,
Tell the procedure to late check out?,6,,
how can we do a late check out,6,,
I need first aid,9,,
"I am feeling sick, any medical facilites",9,,
Any medical facilities for stomach ailment?,9,,
"My head is painning ,need help",9,,
"The water pressure is too low, please fix it",8,,
Hi bot,1,,
"Greeting, what can you do for us",1,,
Hello,1,,
"I am hungry, suggest me some food.",5,,
"My legs are painning , any massaging service",9,,
Any vitanamese food,4,,
"Assamese food,please",4,,
Need Punjabi food,4,,
Sindhi food,4,,
